"","run","perc.vector","perc.host","num.tsetse","trans"
"62.14",373,4.65339416320115,68.5240906111836,3237.74372978631,-6000
"62.15",373,4.59157866253205,68.177073096816,3010.64837787147,-5000
"62.16",373,4.5167004733557,67.6766111688462,2731.09812516276,-4000
"62.17",373,4.42659900600197,66.9224795111655,2390.21497071425,-3000
"62.18",373,4.31895746836024,65.7096274808565,1979.79334377157,-2000
"62.19",373,4.19119545973957,63.5432879872992,1494.26600482254,-1000
"62.20",373,4.03854843456257,58.8433628319795,934.189595824943,0
"62.21",373,3.80956042005333,42.2797716845768,312.130039495922,1000
"62.22",373,3.46233056942754,22.5741866997465,104.692536531399,2000
"62.23",373,3.06491171037642,9.19006417728476,35.1644713359085,3000
"62.24",373,2.67782177219572,3.19975128627411,11.816910959774,4000
"62.25",373,2.32706143614564,1.03808746143362,3.97172541066073,5000
"63.10",384,5.38823663602537,77.5506517228896,3778.09038634456,-10000
"63.11",384,5.36760157182067,77.5027834646178,3684.96654728447,-9000
"63.12",384,5.34208822899089,77.4389837566921,3567.76276625504,-8000
"63.13",384,5.31072468436794,77.3528561947424,3420.89635536861,-7000
"63.14",384,5.27239196012909,77.2345040675933,3237.74372978631,-6000
"63.15",384,5.22582345853307,77.0678646553204,3010.64837787147,-5000
"63.16",384,5.16961268576255,76.8252015890689,2731.09812516276,-4000
"63.17",384,5.1022282766345,76.4544733649089,2390.21497071425,-3000
"63.18",384,5.02201330266733,75.8458602209775,1979.79334377157,-2000
"63.19",384,4.92699452254634,74.7218689750927,1494.26600482254,-1000
"63.20",384,4.81289980599276,72.120675134589,934.189595824942,0
"63.21",384,4.63367859736497,60.8678704932931,312.130039495922,1000
"63.22",384,4.32006757805508,41.0992264601213,104.692536531399,2000
"63.23",384,3.89360819440556,20.4739275734899,35.1644713359085,3000
"63.24",384,3.43160685014428,7.9582192753767,11.816910959774,4000
"63.25",384,2.99261513837471,2.70706841859138,3.97172541066073,5000
"64.10",389,4.94538835351201,48.6103483401406,3778.09038634456,-10000
"64.11",389,4.90262763221574,48.4011032919291,3684.96654728447,-9000
"64.12",389,4.84941929001962,48.1252925585976,3567.76276625504,-8000
"64.13",389,4.78353085249834,47.758327222125,3420.89635536861,-7000
"64.14",389,4.70234292365077,47.2637119929954,3237.74372978631,-6000
"64.15",389,4.60284565356457,46.5852814082208,3010.64837787147,-5000
"64.16",389,4.48169104133168,45.6324976475163,2731.09812516276,-4000
"64.17",389,4.33536657743288,44.2501893596948,2390.21497071425,-3000
"64.18",389,4.16062812816046,42.1488120117613,1979.79334377158,-2000
"64.19",389,3.95542780030128,38.7162381369267,1494.26600482254,-1000
"64.20",389,3.71971595221533,32.3771310708865,934.189595824943,0
"64.21",389,3.41545080484078,17.3776355419187,312.130039495922,1000
"64.22",389,3.03672105751201,7.10372931131922,104.692536531399,2000
"64.23",389,2.65777815909175,2.48389979388852,35.1644713359085,3000
"64.24",389,2.31117317936121,0.810355003679049,11.816910959774,4000
"64.25",389,2.00485544006561,0.256352869242791,3.97172541066073,5000
"65.10",394,5.80436773484138,59.9767004269761,3778.09038634456,-10000
"65.11",394,5.7776379107012,59.923017227997,3684.96654728447,-9000
"65.12",394,5.74451374216357,59.8508838461209,3567.76276625504,-8000
"65.13",394,5.70368643244668,59.7525848745949,3420.89635536861,-7000
"65.14",394,5.65363425512106,59.6160712684318,3237.74372978631,-6000
"65.15",394,5.59261405726939,59.4216641540583,3010.64837787146,-5000
"65.16",394,5.51866164308703,59.1353187615412,2731.09812516276,-4000
"65.17",394,5.4295991909459,58.6934025610929,2390.21497071425,-3000
"65.18",394,5.32301770356564,57.9631204577649,1979.79334377157,-2000
"65.19",394,5.19600224982909,56.6159519584818,1494.26600482254,-1000
"65.20",394,5.04253134347305,53.5584848588628,934.189595824942,0
"65.21",394,4.80267503998009,41.5645698914548,312.130039495922,1000
"65.22",394,4.41111848867007,24.5462155435458,104.692536531399,2000
"65.23",394,3.9306993101415,10.7963403560414,35.1644713359085,3000
"65.24",394,3.44464071800329,3.91386736556573,11.816910959774,4000
"65.25",394,2.9970257294269,1.29452211714152,3.97172541066073,5000
"66.10",409,4.69997996972033,70.4223833709705,3778.09038634456,-10000
"66.11",409,4.67026822913133,70.3069386178882,3684.96654728447,-9000
"66.12",409,4.6335053745226,70.1536200830355,3567.76276625504,-8000
"66.13",409,4.58827822039121,69.9475801108953,3420.8963553686,-7000
"66.14",409,4.53296126290394,69.6661018276946,3237.74372978631,-6000
"66.15",409,4.46572252760671,69.2728406619293,3010.64837787146,-5000
"66.16",409,4.3845517471057,68.7062154196115,2731.09812516275,-4000
"66.17",409,4.28732340731622,67.8536235566813,2390.21497071425,-3000
"66.18",409,4.17189868205414,66.4859964430629,1979.79334377157,-2000
"66.19",409,4.03614145907273,64.055928846982,1494.26600482254,-1000
"66.20",409,3.87623579760385,58.8447455803142,934.189595824942,0
"66.21",409,3.64292987614792,41.1215667694697,312.130039495921,1000
"66.22",409,3.29896797582155,21.2097867084704,104.692536531399,2000
"66.23",409,2.91398868236965,8.39535684389053,35.1644713359084,3000
"66.24",409,2.54339829059276,2.86406153095424,11.816910959774,4000
"66.25",409,2.2093138362723,0.913195577730066,3.97172541066073,5000
"67.10",420,5.43733869072545,65.4528408331118,3778.09038634456,-10000
"67.11",420,5.41097477835871,65.4088110585568,3684.96654728447,-9000
"67.12",420,5.37850763569725,65.3502450453806,3567.76276625504,-8000
"67.13",420,5.33879649149645,65.2713675219336,3420.89635536861,-7000
"67.14",420,5.29057256118683,65.1632736315186,3237.74372978631,-6000
"67.15",420,5.23247135108478,65.0115623896296,3010.64837787147,-5000
"67.16",420,5.16309394675023,64.7914555673144,2731.09812516276,-4000
"67.17",420,5.08110718322488,64.4566165213785,2390.21497071425,-3000
"67.18",420,4.98537339138873,63.9095486464207,1979.79334377157,-2000
"67.19",420,4.87493951822352,62.9045509168931,1494.26600482254,-1000
"67.20",420,4.74719165289331,60.5930352896051,934.189595824942,0
"67.21",420,4.55705121349354,50.7150514823189,312.130039495922,1000
"67.22",420,4.23455970918205,33.7510418474467,104.692536531399,2000
"67.23",420,3.80754407470108,16.5797751773655,35.1644713359085,3000
"67.24",420,3.35199507605928,6.40877090959527,11.816910959774,4000
"67.25",420,2.92196827959387,2.18591095660006,3.97172541066073,5000
"68.10",432,4.87278564785977,60.8644296660385,3778.09038634456,-10000
"68.11",432,4.8487665546716,60.7384661457573,3684.96654728447,-9000
"68.12",432,4.81873251684151,60.5714811363349,3567.76276625504,-8000
"68.13",432,4.78130418919585,60.3476457425001,3420.89635536861,-7000
"68.14",432,4.7347978841827,60.0429306547551,3237.74372978631,-6000
"68.15",432,4.67716304789234,59.6192415452357,3010.64837787146,-5000
"68.16",432,4.605905016549,59.0127019530259,2731.09812516276,-4000
"68.17",432,4.51798797627619,58.1078810419631,2390.21497071425,-3000
"68.18",432,4.4097016419761,56.6731873243961,1979.79334377157,-2000
"68.19",432,4.27636240908771,54.1654145675822,1494.26600482254,-1000
"68.20",432,4.11029156258325,48.933440263075,934.189595824942,0
"68.21",432,3.85415811323488,32.3912952924303,312.130039495922,1000
"68.22",432,3.48080728354034,15.8289670776231,104.692536531399,2000
